Python  MAGIC           Python  MAGIC           Python  MAGIC
1.0     0x00999902      2.0     0x0A0DC687      3.0     0x0A0D0C3A
1.1     0x00999903      2.1     0x0A0DEB2A      3.1     0x0A0D0C4E
1.2     0x00999903      2.2     0x0A0DED2D      3.2     0x0A0D0C6C
1.3     0x0A0D2E89      2.3     0x0A0DF23B      3.3     0x0A0D0C9E
1.4     0x0A0D1704      2.4     0x0A0DF26D      3.4     0x0A0D0CEE
1.5     0x0A0D4E99      2.5     0x0A0DF2B3      3.5     0x0A0D0D16
1.6     0x0A0DC4FC      2.6     0x0A0DF2D1      3.5.3   0x0A0D0D17
                        2.7     0x0A0DF303      3.6     0x0A0D0D33
                                                3.7     0x0A0D0D42
                                                3.8     0x0A0D0D55
                                                3.9     0x0A0D0D61
                                                3.10    0x0A0D0D6F
                                                3.11    0x0A0D0DA7
                                                3.12    0x0A0D0DCB


                        1.0     1.1     1.2     1.3     1.4     1.5     1.6
                        2.0     2.1     2.2     2.3     2.4     2.5     2.6     2.7
STOP_CODE               [X]     [X]     [X]     [X]     [X]     [X]     [X]     [X]
POP_TOP                 [X]     [X]     [X]     [X]     [X]     [X]     [X]     [X]
ROT_TWO                 [X]     [X]     [X]     [X]     [X]     [X]     [X]     [X]
ROT_THREE               [X]     [X]     [X]     [X]     [X]     [X]     [X]     [X]
DUP_TOP                 [X]     [X]     [X]     [X]     [X]     [X]     [X]     [X]
ROT_FOUR                [X]     [X]     [X]     [X]     [X]     [X]     [X]     [X]
<6>                     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<7>                     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<8>                     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
NOP                     [ ]     [ ]     [ ]     [ ]     [X]     [X]     [X]     [X]
UNARY_POSITIVE          [X]     [X]     [X]     [X]     [X]     [X]     [X]     [X]
UNARY_NEGATIVE          [X]     [X]     [X]     [X]     [X]     [X]     [X]     [X]
UNARY_NOT               [X]     [X]     [X]     [X]     [X]     [X]     [X]     [X]
UNARY_CONVERT           [X]     [X]     [X]     [X]     [X]     [X]     [X]     [X]
<14>                    [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
UNARY_INVERT            [X]     [X]     [X]     [X]     [X]     [X]     [X]     [X]
<16>                    [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
